Код,RegionName,ВёскаЗапісу,Широта,Долгота
72,Минская,Гарутишки ,53.7649,27.0813
73,Гродненская,Гирдовка ,53.7044,25.7819
74,Минская,Гливин ,54.1603,28.6061
75,Минская,Глинное ,54.4533,26.9021
76,Витебская,Глубокое ,55.13744,27.687011
77,Брестская,Глубокое ,52.3245,24.0853
78,Могилевская,Глуск г.,52.89859,28.687052
80,Брестская,Гнилец ,52.3109,25.1798
81,Брестская,Гончары ,52.9627,26.3082
83,Брестская,Городная ,51.8705,26.4944
84,Гомельская,Головки ,52.2333,29.966
85,Гомельская,Голубица ,52.1074,28.294
86,Витебская,Голубчики,55.251000,27.609800
87,Гродненская,Голынка ,53.2124,25.0397
88,Минская,Горбаты ,53.5462,27.4574
90,Брестская,Городище ,52.1646,26.2736
91,Минская,Городно Большое,54.174033,29.01606
92,Минская,Городно Малое,54.157212,28.985822
93,Брестская,Гортоль ,52.5019,25.9093
94,Минская,Гоцк ,52.526,27.1293
95,Гомельская,Грабовка ,52.189,31.1398
96,Минская,Грицевичи ,52.9825,26.7174
98,Витебская,Грудиново ,55.3534,29.2216
100,Брестская,Гута ,52.8803,25.9093
101,Витебская,Гущино ,55.1159,30.8365
102,Гомельская,Даниловка,52.8101,29.2374
103,Брестская,Дворец,52.2788,26.9578
104,Минская,Дворище ,53.1092,27.7752
105,Гродненская,Деречин ,53.247,24.9172
106,Брестская,Доброславка ,52.403007,26.238101
107,Гомельская,Довск ,53.1614,30.4598
109,Минская,Должани ,54.76066,27.10267
110,Витебская,Должица ,54.8269,29.1057
111,Витебская,Домжерицы ,54.742,28.3208
112,Брестская,Достоево ,52.2394,25.666
113,Витебская,Дрисвяты ,55.59,26.6837
114,Минская,Дричин ,53.57192,27.97550
115,Брестская,Дружиловичи ,52.2403,25.5582
116,Витебская,Дрюково ,55.1382,30.4154
117,Брестская,Дубины ,52.118,24.6968
118,Минская,Дубное ,53.0136,28.3569
119,Гомельская,Дуброва ,51.7837,28.2189
120,Гомельская,Дубровица ,52.0492,30.103
121,Витебская,Дубровка ,55.3551,26.9345
122,Гомельская,Дубровка ,52.1771,31.5475
124,Могилевская,Дымово ,54.2991,30.0617
125,Гомельская,Дяковичи,52.45,28.0192
126,Могилевская,Еловец ,53.4484,32.6514
127,Витебская,Ельня ,55.6449,26.9548
128,Брестская,Емельяновичи ,53.3502,25.8246
129,Брестская,Емельяновка ,53.0282,25.9307
130,Минская,Ерши ,53.3771,27.0142
131,Брестская,Жабчицы ,52.1272,25.9773
132,Гомельская,Жаховичи ,52.1117,28.9534
133,Брестская,Жиличи ,52.4015,23.7311
134,Гомельская,Жмуровка ,52.33543,30.45676
135,Брестская,Жолкино ,51.9032,26.3311
136,Гомельская,Журавичи ,53.2477,30.5426
138,Минская,Заберье,54.0707,28.8517
139,Брестская,Заберье ,52.8168,25.9736
140,Могилевская,Заболотье ,54.0877,29.9358
141,Брестская,Заболотье ,51.9075,24.3125
142,Минская,Заболотье ,54.1693,29.3071
143,Витебская,Заболотье ,55.07796,30.50951
144,Брестская,Заболотье ,53.1807,25.8347
145,Минская,Забродье ,54.5447,26.7298
146,Витебская,Завадино ,55.1139,29.0343
147,Брестская,Завидчицы ,52.057,26.0563
149,Витебская,Загорцы ,55.07066,28.99664
150,Брестская,Загорье ,52.5637,24.6192
151,Могилевская,Загорянки,54.226211,29.942223
152,Минская,Заградье ,52.9725,27.7608
153,Минская,Задворье ,52.93007,27.34102
155,Минская,Заельня ,52.9727,26.657
